time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
3.75,0.3069063754,0.6924032166,0,0,0,0.13602856,0.6810839546,0.8428104299,0,0,0.2062884895,0.228876291,0.4694195174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349101626,0,0.0306324948,0,0,0,0,0,0,0
4,0.3246591597,0.7020651795,0,0,0,0.1001759486,0.696086901,0.9279103464,0,0,0.2155224776,0.2447191487,0.4899849304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426172069,0,0.0369133301,0,0,0,0,0,0,0
4.25,0.370497075,0.668072192,0,0,0,0.0688663863,0.6650554963,0.9648613754,0,0,0.2702243933,0.2566415386,0.5200647023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773947924,0,0.0629650704,0,0,0,0,0,0,0
4.5,0.4398836608,0.5872083688,0,0,0,0.0495742733,0.5853575194,0.9965941779,0,0,0.356459991,0.2634623311,0.5500418813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1337084491,0,0.1049937275,0,0,0,0,0,0,0
4.75,0.5217161878,0.4970473442,0,0,0,0.0307343243,0.4961756627,1.0345668344,0,0,0.4520654157,0.2699660771,0.582746544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18944196,0,0.1468872761,0,0,0,0,0,0,0
5,0.6370639707,0.4358007967,0,0,0,0.0123437345,0.4356371537,1.0803925964,0,0,0.5566248156,0.3277575909,0.6185433098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2200482939,0,0.1554954242,0,0,0,0,0,0,0
5.25,0.7938804339,0.4335857988,0,0,0,-0.0056013843,0.433551912,1.1361336624,0,0,0.6688745353,0.4653904433,0.657857943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2211256036,0,0.1109413152,0,0,0,0,0,0,0
5.5,0.9427581642,0.4315100949,0,0,0,-0.0231058819,0.4309298612,1.2043526832,0,0,0.7866096565,0.5881985821,0.7011811785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235728543,0,0.067441379,0,0,0,0,0,0,0
5.75,1.0757483756,0.4295599356,0,0,0,-0.040175453,0.4277936022,1.2880409742,0,0,0.9068239935,0.6905265209,0.7490685136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2606333736,0,0.0255335964,0,0,0,0,0,0,0
6,1.1843466557,0.4435021819,0,0,0,-0.0130539242,0.4433227866,1.2295469499,0,0,1.0531091705,0.7049928093,0.9614200105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253205525,0,0.0207714143,0,0,0,0,0,0,0
6.25,1.3644836156,0.4436233895,0,0,0,0.033682164,0.4424276615,1.0291812125,0,0,1.3054930023,0.6740883358,1.5042083113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2507369151,0,0.0180481394,0,0,0,0,0,0,0
6.5,1.3236196099,0.438898823,0,0,0,-0.0266007897,0.4381443218,1.3952136973,0,0,1.2486707087,0.6874968947,1.9179264343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2571530252,0,0.0159749303,0,0,0,0,0,0,0
6.75,1.3021324139,0.4434901281,0,0,0,-0.1248020072,0.4266917314,2.0655475316,0,0,1.2082372836,0.7251077092,2.2644609765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2788623243,0,0.0006601265,0,0,0,0,0,0,0
7,1.2170549023,0.4754535113,0,0,0,-0.1516012254,0.4523993505,1.4029121992,0,0,1.0273166528,0.8367403854,2.49786497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3038150551,0,-0.0218302309,0,0,0,0,0,0,0
7.25,1.1300883681,0.4949320734,0,0,0,-0.1208758275,0.4811372755,0.8138840965,0,0,0.8161877281,0.8985551454,2.5876592619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3057044113,0,-0.0245893483,0,0,0,0,0,0,0
7.5,0.4522602062,0.4742996448,0,0,0,-0.0299168367,0.4734268986,0.8506047478,0,0,0.3758565684,0.2577660407,1.7476658952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2737136627,0,0.1577287139,0,0,0,0,0,0,0
7.75,0.7295597747,0.4984322744,0,0,0,0.002852209,0.4984248009,0.7275632139,0,0,0.5033820534,0.5528461924,1.6116384421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268479073,0,0.0726256764,0,0,0,0,0,0,0
8,0.8392243479,0.5115405289,0,0,0,0.009487777,0.5114603451,0.7597979555,0,0,0.5488772592,0.6712194794,1.6881831306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271043672,0,0.0270321436,0,0,0,0,0,0,0
8.25,0.9471970093,0.5240132986,0,0,0,-0.0019175217,0.5240101174,0.7683852136,0,0,0.6026447373,0.782960394,1.5682966763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2884227951,0,-0.0270200662,0,0,0,0,0,0,0
8.5,1.047733045,0.5324308029,0,0,0,0.0140149978,0.5322640782,0.7711174615,0,0,0.680733297,0.8726334036,1.4184469259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3107315144,0,-0.0784694908,0,0,0,0,0,0,0
8.75,1.13876953,0.5399988098,0,0,0,0.0494473394,0.5379537629,0.8028549603,0,0,0.7762746002,0.9436714646,1.4067986087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334913797,0,-0.1309130885,0,0,0,0,0,0,0
9,1.1443743647,0.5303548181,0,0,0,0.2379591098,0.4786003249,0.9464486471,0,0,0.8901823679,0.8535733246,1.0282084326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1944052047,0,-0.0685554514,0,0,0,0,0,0,0
9.25,1.163317727,0.5483556771,0,0,0,0.3001772939,0.466097558,0.8976634885,0,0,0.9751692697,0.7864337242,0.9257797738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1643065286,0,-0.0345054407,0,0,0,0,0,0,0
9.5,1.1891939997,0.5508460961,0,0,0,0.2774990001,0.4822013496,0.7732776445,0,0,1.0376053509,0.7485490829,0.7701483682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1920681329,0,-0.0110859426,0,0,0,0,0,0,0
9.75,1.1401328231,0.520589836,0,0,0,0.2087566205,0.4804684928,0.688146129,0,0,0.9673910902,0.7440938594,0.7020574213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2090242917,0,-0.0045712404,0,0,0,0,0,0,0
10,1.0748167402,0.4855129485,0,0,0,0.1289828937,0.4693907739,0.6185744955,0,0,0.8659958591,0.7458116755,0.7057757528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2202613652,0,-0.004373799,0,0,0,0,0,0,0
10.25,1.0133049363,0.4605936062,0,0,0,0.0546259927,0.4575737468,0.5542730322,0,0,0.7690494798,0.7432628637,0.7092535596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2317397178,0,-0.0042597641,0,0,0,0,0,0,0
10.5,0.9561636337,0.4456985898,0,0,0,-0.0141105194,0.4454901522,0.4968056208,0,0,0.6779436457,0.7371549473,0.7124943509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2434635671,0,-0.0042332775,0,0,0,0,0,0,0
