time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-0.400636869871,-0.651035202646,0,0,0,0.388030729645,-0.837529538077,-1.77552275195,0,0,-0.0634237007128,1.01491837868,-1.81674126149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34867910522,0.210845202288,0,0,0,0,0,0,0
0.5,-0.393310126583,-0.627379055001,0,0,0,0.404619217874,-1.08092142771,-1.62532691941,0,0,-0.0519606563316,0.947024365643,-1.91191528334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31434809653,0.206197495105,0,0,0,0,0,0,0
0.75,-0.390952144697,-0.612087588993,0,0,0,0.397315492359,-1.16511606302,-1.66579503187,0,0,-0.0494658121146,0.934177375668,-1.91283884331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30572464288,0.203527095677,0,0,0,0,0,0,0
1.0,-0.388314777461,-0.587942877409,0,0,0,0.392660740955,-1.29378549538,-1.59961573191,0,0,-0.0487851940312,0.911125033424,-1.93398538027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27358405009,0.199335996492,0,0,0,0,0,0,0
1.25,-0.389589988019,-0.587999520102,0,0,0,0.391564376276,-1.30001658386,-1.59342633142,0,0,-0.0510211085441,0.90709799931,-1.94833243869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28077813874,0.200822100193,0,0,0,0,0,0,0
1.5,-0.374311458981,-0.57393948756,0,0,0,0.424069089825,-1.74877332625,-1.21298407513,0,0,-0.0217936759596,0.810214580945,-2.07374361965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2803256281,0.195037945313,0,0,0,0,0,0,0
1.75,-0.363144930199,-0.600122977459,0,0,0,0.468842121878,-2.13015971229,-0.841779052071,0,0,0.0139585135407,0.768240496101,-2.08784108762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32080936296,0.19645841826,0,0,0,0,0,0,0
2.0,-0.353874935351,-0.580668619104,0,0,0,0.495386204242,-2.19248217894,-0.898234497422,0,0,0.00984417605381,0.839218619435,-2.03576487952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26596167184,0.173234569125,0,0,0,0,0,0,0
2.25,-0.351981965175,-0.594573789617,0,0,0,0.557942745839,-2.26140137276,-0.785485003647,0,0,0.044720777155,0.90184268422,-1.83788243658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22074145917,0.162999558523,0,0,0,0,0,0,0
